"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","86.19"
"B","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","86.95"
"B","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","85.86"
"B","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","90.21"
"B","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","87.11"
"B","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","86.21"
"B","3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","87.8"
"B","3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","86.79"
"B","3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","86.67"
"B","3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","87.98"
"B","3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","86.67"
"B","3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","87.13"
"B","3","[2016-10-19 06:00:00,2016-10-19 06:20:00)","87.54"
"B","3","[2016-10-19 06:20:00,2016-10-19 06:40:00)","89.28"
"B","3","[2016-10-19 07:00:00,2016-10-19 07:20:00)","90.11"
"B","3","[2016-10-19 07:20:00,2016-10-19 07:40:00)","88.38"
"B","3","[2016-10-19 07:40:00,2016-10-19 08:00:00)","88.62"
"B","3","[2016-10-19 15:00:00,2016-10-19 15:20:00)","88.42"
"B","3","[2016-10-19 15:20:00,2016-10-19 15:40:00)","88.89"
"B","3","[2016-10-19 15:40:00,2016-10-19 16:00:00)","88.23"
"B","3","[2016-10-19 16:00:00,2016-10-19 16:20:00)","89.05"
"B","3","[2016-10-19 16:20:00,2016-10-19 16:40:00)","90.24"
"B","3","[2016-10-19 16:40:00,2016-10-19 17:00:00)","88.53"
"B","3","[2016-10-20 06:00:00,2016-10-20 06:20:00)","86.12"
"B","3","[2016-10-20 06:20:00,2016-10-20 06:40:00)","86.34"
"B","3","[2016-10-20 06:40:00,2016-10-20 07:00:00)","86.82"
"B","3","[2016-10-20 07:20:00,2016-10-20 07:40:00)","86.5"
"B","3","[2016-10-20 07:40:00,2016-10-20 08:00:00)","86.08"
"B","3","[2016-10-20 15:00:00,2016-10-20 15:20:00)","90.44"
"B","3","[2016-10-20 15:20:00,2016-10-20 15:40:00)","87.37"
"B","3","[2016-10-20 15:40:00,2016-10-20 16:00:00)","88.3"
"B","3","[2016-10-20 16:00:00,2016-10-20 16:20:00)","86.42"
"B","3","[2016-10-20 16:20:00,2016-10-20 16:40:00)","87.84"
"B","3","[2016-10-20 16:40:00,2016-10-20 17:00:00)","87.48"
"B","3","[2016-10-21 06:20:00,2016-10-21 06:40:00)","86.96"
"B","3","[2016-10-21 06:40:00,2016-10-21 07:00:00)","86.23"
"B","3","[2016-10-21 07:00:00,2016-10-21 07:20:00)","87.56"
"B","3","[2016-10-21 07:20:00,2016-10-21 07:40:00)","86.91"
"B","3","[2016-10-21 07:40:00,2016-10-21 08:00:00)","87.52"
"B","3","[2016-10-21 15:00:00,2016-10-21 15:20:00)","88.22"
"B","3","[2016-10-21 15:20:00,2016-10-21 15:40:00)","87.37"
"B","3","[2016-10-21 15:40:00,2016-10-21 16:00:00)","87.65"
"B","3","[2016-10-21 16:00:00,2016-10-21 16:20:00)","87.36"
"B","3","[2016-10-21 16:20:00,2016-10-21 16:40:00)","87.26"
"B","3","[2016-10-21 16:40:00,2016-10-21 17:00:00)","88.09"
"B","3","[2016-10-22 06:40:00,2016-10-22 07:00:00)","87.95"
"B","3","[2016-10-22 07:00:00,2016-10-22 07:20:00)","87.52"
"B","3","[2016-10-22 07:20:00,2016-10-22 07:40:00)","86.56"
"B","3","[2016-10-22 07:40:00,2016-10-22 08:00:00)","87.6"
"B","3","[2016-10-22 15:00:00,2016-10-22 15:20:00)","86.44"
"B","3","[2016-10-22 15:20:00,2016-10-22 15:40:00)","86.82"
"B","3","[2016-10-22 15:40:00,2016-10-22 16:00:00)","87.73"
"B","3","[2016-10-22 16:00:00,2016-10-22 16:20:00)","87.85"
"B","3","[2016-10-22 16:20:00,2016-10-22 16:40:00)","87.51"
"B","3","[2016-10-22 16:40:00,2016-10-22 17:00:00)","87.33"
"B","3","[2016-10-23 06:20:00,2016-10-23 06:40:00)","84.48"
"B","3","[2016-10-23 07:00:00,2016-10-23 07:20:00)","84.38"
"B","3","[2016-10-23 07:20:00,2016-10-23 07:40:00)","84.25"
"B","3","[2016-10-23 07:40:00,2016-10-23 08:00:00)","83.29"
"B","3","[2016-10-23 15:00:00,2016-10-23 15:20:00)","84.98"
"B","3","[2016-10-23 15:20:00,2016-10-23 15:40:00)","84.95"
"B","3","[2016-10-23 15:40:00,2016-10-23 16:00:00)","84.53"
"B","3","[2016-10-23 16:00:00,2016-10-23 16:20:00)","85.11"
"B","3","[2016-10-23 16:20:00,2016-10-23 16:40:00)","85.87"
"B","3","[2016-10-23 16:40:00,2016-10-23 17:00:00)","85.97"
"B","3","[2016-10-24 06:00:00,2016-10-24 06:20:00)","86.09"
"B","3","[2016-10-24 06:20:00,2016-10-24 06:40:00)","85.88"
"B","3","[2016-10-24 06:40:00,2016-10-24 07:00:00)","87.03"
