,intersection_id,tollgate_id,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hour,week,minute,travel_time
0,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,0,2,20,58.05
1,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,20,56.87
10,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,40,77.74
11,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,20,42.64
12,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,40,40.1733333333
13,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,2,20,41.92
14,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,2,40,39.43
15,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,4,2,0,48.13
16,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,4,2,20,62.1066666667
27,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,4,2,40,46.115
28,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,0,49.556
29,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,20,54.84
30,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,40,58.0842857143
31,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,0,46.356
32,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,20,48.588
33,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,40,66.6425
34,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,7,2,0,64.681
35,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,7,2,20,85.676
61,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,7,2,40,58.9688888889
62,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,0,81.6028571429
63,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,20,80.2078571429
64,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,40,63.4484615385
65,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,0,78.0511764706
66,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,20,69.0383333333
67,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,40,69.6571428571
68,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10,2,0,78.3115384615
69,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10,2,20,59.4118181818
106,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,10,2,40,75.4888888889
107,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,0,72.435
108,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,20,45.9425
109,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,40,47.9757142857
110,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,0,60.1681818182
111,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,20,49.5275
112,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,40,52.1738461538
113,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13,2,0,57.8292307692
114,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13,2,20,57.0911111111
149,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,13,2,40,61.1263636364
150,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,0,65.1145454545
151,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,20,74.7066666667
152,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,40,63.825625
153,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,0,79.4208333333
154,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,20,72.314
155,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,40,58.741
156,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16,2,0,59.6375
157,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16,2,20,51.97
196,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,16,2,40,61.6009090909
197,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,17,2,0,105.391666667
198,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,17,2,20,83.8285714286
