Day,startTime,x1,x2,h,y
1,1,80,97,102,129
1,7,86,99,75,85
1,2,97,129,102,122
1,8,99,85,75,72
1,3,129,122,102,98
1,9,85,72,75,53
1,4,122,98,102,89
1,10,72,53,75,55
1,5,98,89,102,78
1,11,53,55,75,50
1,6,89,78,102,59
1,12,55,50,75,49
1,1,114,126,122,117
1,7,75,73,68,71
1,2,126,117,122,130
1,8,73,71,68,67
1,3,117,130,122,121
1,9,71,67,68,63
1,4,130,121,122,126
1,10,67,63,68,63
1,5,121,126,122,120
1,11,63,63,68,52
1,6,126,120,122,81
1,12,63,52,68,48
1,9,5,7,5,5
1,11,5,3,5,9
1,12,3,9,5,4
1,1,114,115,119,129
1,7,67,81,68,85
1,2,115,129,119,120
1,8,81,85,68,65
1,3,129,120,119,117
1,9,85,65,68,55
1,4,120,117,119,121
1,10,65,55,68,59
1,5,117,121,119,92
1,11,55,59,68,53
1,6,121,92,119,90
1,12,59,53,68,41
1,1,125,119,121,130
1,7,92,72,74,86
1,2,119,130,121,133
1,8,72,86,74,83
1,3,130,133,121,109
1,9,86,83,74,58
1,4,133,109,121,114
1,10,83,58,74,56
1,5,109,114,121,102
1,11,58,56,74,53
1,6,114,102,121,91
1,12,56,53,74,53
2,1,86,93,103,112
2,7,76,64,78,82
2,2,93,112,103,111
2,8,64,82,78,86
2,3,112,111,103,112
2,9,82,86,78,85
2,4,111,112,103,105
2,10,86,85,78,77
2,5,112,105,103,99
2,11,85,77,78,60
2,6,105,99,103,87
2,12,77,60,78,56
2,1,89,104,113,128
2,7,67,83,61,93
2,2,104,128,113,117
2,8,83,93,61,21
2,3,128,117,113,131
2,9,93,21,61,59
2,4,117,131,113,111
2,10,21,59,61,43
2,5,131,111,113,90
2,11,59,43,61,64
2,6,111,90,113,94
2,12,43,64,61,60
2,8,12,19,12,15
2,10,15,8,12,6
2,11,8,6,12,9
2,12,6,9,12,7
2,1,109,103,111,122
2,7,79,74,74,95
2,2,103,122,111,106
2,8,74,95,74,66
2,3,122,106,111,123
2,9,95,66,74,76
2,4,106,123,111,106
2,10,66,76,74,54
2,5,123,106,111,92
2,11,76,54,74,56
2,6,106,92,111,71
2,12,54,56,74,50
3,1,37,44,53,37
3,7,81,99,81,88
3,2,44,37,53,30
3,8,99,88,81,77
3,3,37,30,53,66
3,9,88,77,81,83
3,4,30,66,53,104
3,10,77,83,81,58
3,5,66,104,53,100
3,11,83,58,81,72
3,6,104,100,53,80
3,12,58,72,81,49
3,1,48,34,37,32
3,7,29,76,58,56
3,2,34,32,37,41
3,8,76,56,58,79
3,3,32,41,37,35
3,9,56,79,58,69
3,4,41,35,37,35
3,10,79,69,58,43
3,5,35,35,37,23
3,11,69,43,58,54
3,6,35,23,37,21
3,12,43,54,58,52
3,1,4,3,8,12
3,7,20,19,16,23
3,2,3,12,8,15
3,3,12,15,8,10
3,4,15,10,8,5
3,10,16,12,16,10
3,5,10,5,8,14
3,11,12,10,16,12
3,6,5,14,8,10
3,12,10,12,16,5
3,7,66,82,75,81
3,8,82,81,75,82
3,3,129,124,115,114
3,9,81,82,75,76
3,4,124,114,115,112
3,10,82,76,75,66
3,5,114,112,115,108
3,11,76,66,75,66
3,6,112,108,115,86
3,12,66,66,75,55
4,1,79,100,99,108
4,7,93,96,81,71
4,2,100,108,99,110
4,8,96,71,81,76
4,3,108,110,99,101
4,9,71,76,81,70
4,4,110,101,99,96
4,10,76,70,81,83
4,5,101,96,99,81
4,11,70,83,81,63
4,6,96,81,99,65
4,12,83,63,81,53
4,1,72,88,99,105
4,7,78,86,75,78
4,2,88,105,99,99
4,8,86,78,75,70
4,3,105,99,99,114
4,9,78,70,75,71
4,4,99,114,99,117
4,10,70,71,75,70
4,5,114,117,99,102
4,11,71,70,75,67
4,6,117,102,99,82
4,12,70,67,75,58
4,12,14,5,14,8
4,1,107,145,122,112
4,7,79,74,77,77
4,2,145,112,122,121
4,8,74,77,77,80
4,3,112,121,122,121
4,9,77,80,77,80
4,4,121,121,122,127
4,10,80,80,77,73
4,5,121,127,122,101
4,11,80,73,77,70
4,6,127,101,122,77
4,12,73,70,77,52
5,1,91,103,103,112
5,7,100,110,95,95
5,2,103,112,103,106
5,8,110,95,95,92
5,3,112,106,103,118
5,9,95,92,95,95
5,4,106,118,103,92
5,10,92,95,95,80
5,5,118,92,103,93
5,11,95,80,95,71
5,6,92,93,103,76
5,12,80,71,95,80
5,1,86,104,101,114
5,7,148,143,105,131
5,2,104,114,101,104
5,8,143,131,105,133
5,3,114,104,101,107
5,9,131,133,105,52
5,4,104,107,101,91
5,10,133,52,105,25
5,5,107,91,101,92
5,11,52,25,105,32
5,6,91,92,101,75
5,12,25,32,105,27
5,9,7,12,9,9
5,10,12,9,9,9
5,11,9,9,9,6
5,12,9,6,9,6
5,1,96,108,115,112
5,7,94,87,85,83
5,2,108,112,115,132
5,8,87,83,85,98
5,3,112,132,115,141
5,9,83,98,85,79
5,4,132,141,115,105
5,10,98,79,85,71
5,5,141,105,115,117
5,11,79,71,85,89
5,6,105,117,115,77
5,12,71,89,85,69
6,1,64,82,81,74
6,7,83,89,75,71
6,2,82,74,81,86
6,8,89,71,75,89
6,3,74,86,81,91
6,9,71,89,75,85
6,4,86,91,81,94
6,10,89,85,75,34
6,5,91,94,81,96
6,11,85,34,75,0
6,6,94,96,81,100
6,12,34,0,75,1
6,9,12,9,9,4
6,10,9,4,9,7
6,11,4,7,9,6
6,12,7,6,9,5
6,1,77,97,89,106
6,7,65,56,58,63
6,2,97,106,89,93
6,8,56,63,58,60
6,3,106,93,89,83
6,9,63,60,58,60
6,4,93,83,89,83
6,10,60,60,58,46
6,5,83,83,89,99
6,11,60,46,58,54
6,6,83,99,89,86
6,12,46,54,58,37
6,1,50,81,93,101
6,7,79,91,69,72
6,2,81,101,93,118
6,8,91,72,69,84
6,3,101,118,93,103
6,9,72,84,69,50
6,4,118,103,93,108
6,10,84,50,69,41
6,5,103,108,93,124
6,11,50,41,69,35
6,6,108,124,93,95
6,12,41,35,69,37
7,1,45,62,67,70
7,7,92,74,75,84
7,2,62,70,67,75
7,8,74,84,75,77
7,3,70,75,67,90
7,9,84,77,75,56
7,4,75,90,67,64
7,10,77,56,75,71
7,5,90,64,67,104
7,11,56,71,75,66
7,6,64,104,67,93
7,12,71,66,75,41
7,4,15,18,7,14
7,10,10,4,7,2
7,11,4,2,7,3
7,12,2,3,7,2
7,1,99,100,112,125
7,7,63,72,71,69
7,2,100,125,112,114
7,8,72,69,71,83
7,3,125,114,112,113
7,9,69,83,71,73
7,4,114,113,112,125
7,10,83,73,71,70
7,5,113,125,112,94
7,11,73,70,71,48
7,6,125,94,112,80
7,12,70,48,71,54
7,1,69,58,82,81
7,7,98,71,72,82
7,2,58,81,82,92
7,8,71,82,72,65
7,3,81,92,82,99
7,9,82,65,72,74
7,4,92,99,82,95
7,10,65,74,72,46
7,5,99,95,82,107
7,11,74,46,72,54
7,6,95,107,82,87
7,12,46,54,72,32
