intersection_id,tollgate_id,time_window,avg_travel_time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hours
B,3,2016/07/19 0:00,548.72,1000.9,1005.8,219,3.3,27.5,81,0,0
B,3,2016/07/19 3:00,513.22,1000.5,1005.3,212,3.8,31.7,65,0,3
B,3,2016/07/19 6:00,1125.22,999.7,1004.5,239,1.9,31.8,64,0,6
B,3,2016/07/19 9:00,997.45,998.7,1003.5,218,2,31.5,69,0,9
B,3,2016/07/19 12:00,1232.4,1000.2,1005,215,0.7,30,77,0,12
B,3,2016/07/19 15:00,1088.08,1001,1005.8,202,1.5,29,80,0,15
B,3,2016/07/19 18:00,841.71,999.6,1004.4,198,2.1,27.7,88,0,18
B,3,2016/07/19 21:00,698.02,999,1003.8,208,2,26.5,93,0,21
B,3,2016/07/20 0:00,411.03,1000.2,1005,200,2.9,30.3,72,0,0
B,3,2016/07/20 3:00,681.83,999.7,1004.5,207,5.4,34.8,48,0,3
B,3,2016/07/20 6:00,1467.68,998.7,1003.5,199,4.7,37.1,41,0,6
B,3,2016/07/20 9:00,1057.17,998.7,1003.5,217,3.4,37,40,0,9
B,3,2016/07/20 12:00,775.57,1000.2,1005,224,2.5,33,53,0,12
B,3,2016/07/20 15:00,1071.87,1001.3,1006.1,208,2.1,30.6,63,0,15
B,3,2016/07/20 18:00,939.87,1000.9,1005.7,210,2.5,29,69,0,18
B,3,2016/07/20 21:00,539.62,1001.7,1006.5,222,2.3,27.3,79,0,21
B,3,2016/07/21 0:00,150.78,1003,1007.8,197,1.8,31.1,63,0,0
B,3,2016/07/21 3:00,393.05,1002.4,1007.2,210,4.6,35.6,47,0,3
B,3,2016/07/21 6:00,933.46,1001.5,1006.3,205,4.7,37.2,44,0,6
B,3,2016/07/21 9:00,511.96,1000.2,1005,195,3.2,37.6,42,0,9
B,3,2016/07/21 12:00,874.81,1001,1005.8,258,1.6,33.5,53,0,12
B,3,2016/07/21 15:00,897.4,1001.9,1006.7,208,3.2,31.4,66,0,15
B,3,2016/07/21 18:00,1061.33,1001.7,1006.5,207,2.4,29.9,70,0,18
B,3,2016/07/21 21:00,768.77,1002.1,1006.9,199,2.5,29,75,0,21
B,3,2016/07/22 0:00,165.66,1003.2,1008,194,1.9,31.6,68,0,0
B,3,2016/07/22 3:00,654.56,1002.7,1007.5,212,3,35.5,51,0,3
B,3,2016/07/22 6:00,1164.23,1001,1005.8,220,3.6,37.6,45,0,6
B,3,2016/07/22 9:00,1054.13,1000,1004.8,226,1.9,37.2,45,0,9
B,3,2016/07/22 12:00,1004.52,1000.7,1005.5,238,1.7,33.4,54,0,12
B,3,2016/07/22 15:00,1105.08,1001.7,1006.5,190,1.6,31.3,67,0,15
B,3,2016/07/22 18:00,1021.01,1000.9,1005.7,205,2.1,29.8,74,0,18
B,3,2016/07/22 21:00,881.96,1001.2,1006,207,1.3,27.7,83,0,21
B,3,2016/07/23 0:00,716.92,1002.7,1007.5,221,2.4,31.3,69,0,0
B,3,2016/07/23 3:00,411.88,1002.5,1007.3,169,2.6,36.2,52,0,3
B,3,2016/07/23 6:00,907.91,1000.5,1005.3,206,1.8,38.3,42,0,6
B,3,2016/07/23 9:00,1053.87,999.7,1004.5,236,1.6,38,45,0,9
B,3,2016/07/23 12:00,1032.83,1000.9,1005.7,106,1.5,35.6,50,0,12
B,3,2016/07/23 15:00,1139.92,1001.9,1006.6,150,1.2,33.6,61,0,15
B,3,2016/07/23 18:00,1131.45,1001.6,1006.3,213,1.1,31.1,71,0,18
B,3,2016/07/23 21:00,1065.26,1002,1006.8,223,1.8,29,82,0,21
