intersection_id,tollgate_id,time_window,avg_travel_time
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",19.01
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",19.01
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",19.01
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",34.44
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",34.44
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",34.44
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",109.83
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",109.83
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",109.83
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",105.57
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",105.57
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",105.57
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",53.32
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",53.32
B,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",53.32
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",85.96
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",85.96
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",85.96
B,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",120.04
B,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",120.04
B,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",120.04
B,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",107.34
B,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",107.34
B,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",107.34
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",33.08
B,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",33.08
B,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",33.08
B,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",55.83
B,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",55.83
B,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",55.83
B,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",109.21
B,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",109.21
B,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",109.21
B,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",104.38
B,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",104.38
B,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",104.38
B,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",19
B,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",19
B,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",19
B,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",21.21
B,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",21.21
B,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",21.21
B,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",96.46
B,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",96.46
B,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",96.46
B,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",83.76
B,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",83.76
B,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",83.76
B,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",34.55
B,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",34.55
B,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",34.55
B,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",68.35
B,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",68.35
B,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",68.35
B,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",83.91
B,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",83.91
B,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",83.91
B,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",76.96
B,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",76.96
B,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",76.96
B,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",18.95
B,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",18.95
B,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",18.95
B,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",18.97
B,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",18.97
B,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",18.97
B,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",97.93
B,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",97.93
B,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",97.93
B,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",92.14
B,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",92.14
B,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",92.14
B,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",40.62
B,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",40.62
B,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",40.62
B,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",68.37
B,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",68.37
B,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",68.37
B,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",80.66
B,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",80.66
B,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",80.66
B,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",73.14
B,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",73.14
B,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",73.14
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",18.95
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",18.95
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",18.95
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",28.48
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",28.48
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",28.48
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",122.01
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",122.01
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",122.01
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",111.77
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",111.77
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",111.77
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",32.31
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",32.31
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",32.31
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",89.12
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",89.12
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",89.12
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",107.67
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",107.67
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",107.67
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",95.25
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",95.25
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",95.25
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",18.99
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",18.99
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",18.99
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",47.63
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",47.63
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",47.63
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",43.28
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",43.28
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",43.28
B,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",36.72
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",36.72
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",36.72
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",18.95
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",18.95
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",18.95
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",18.99
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",18.99
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",18.99
B,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",63.17
B,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",63.17
B,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",63.17
B,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",49.39
B,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",49.39
B,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",49.39
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",35.02
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",35.02
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",35.02
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.84
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",62.84
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.84
B,1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",47.59
B,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",47.59
B,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",47.59
B,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",40.92
B,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",40.92
B,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",40.92
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",18.95
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",18.95
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",18.95
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",18.95
B,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",18.95
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",18.95
B,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",106.4
B,1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",106.4
B,1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",106.4
B,1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",89.51
B,1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",89.51
B,1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",89.51
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",19.02
B,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",19.02
B,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",19.02
B,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",39.89
B,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",39.89
B,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",39.89
B,1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",49.71
B,1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",49.71
B,1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",49.71
B,1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",37.41
B,1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",37.41
B,1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",37.41
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",19.01
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",19.01
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",19.01
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",31.19
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",31.19
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",31.19
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",78.68
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",78.68
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",78.68
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",76.84
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",76.84
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",76.84
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.57
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.57
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.57
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",78.47
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",78.47
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",78.47
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",56.28
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",56.28
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",56.28
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",51.41
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",51.41
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",51.41
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",36.17
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",36.17
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",36.17
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",50.46
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",50.46
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",50.46
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",68.98
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",68.98
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",68.98
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.61
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",66.61
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",66.61
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",22.27
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",22.27
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",22.27
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",33.13
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",33.13
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",33.13
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",47.95
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",47.95
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",47.95
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",43.39
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",43.39
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",43.39
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",45.93
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",45.93
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",45.93
